"Status","Name","Duration in ms","Description"
"passed","test.test_add_group#test_add_group[None : name; header7R6DnKJDUdO; footeriFaN]","1278",""
"passed","test.test_add_group#test_add_group[None : nameUfxLfE; headerIb; footermunbHCHyGySJPgi1]","1256",""
"passed","test.test_add_group#test_add_group[None : nameuiZ; headernLmGSAICR6; footerPuonjTlAxQJrBd]","1212",""
"passed","test.test_add_group#test_add_group[None : nameA5Zs; headerrZZXoRQhmfRsWp; footeru4]","1218",""
"passed","test.test_add_group#test_add_group[None : ; ; ]","1413",""
"passed","test.test_add_group#test_add_group[None : namee3nbs8; headerBZH9k8lgDnh9coW; footerUNqROpsor0iVkv]","1371",""
